#SENTENCE_FROM_TWEET	LABEL	VERB	TARGET	ASPECT	AGENT_PERPETRATOR	PATIENT	SENTIMENT_OF_PATIENT	SENTIMENT_OF_AGENT_TOWARDS_PATIENT	AGENT_IS_NON-CONFORMISTIC
Women Falsify Claims of Domestic Violence	ABUSE	falsify	Women	NON_EPISODIC	PERPETRATOR	Claims of Domestic Violence	NEGATIVE	NEGATIVE	_
Women Falter in Civil War	OTHER	falter	Women	EPISODIC	_	N/A	N/A	N/A	_
Women Heckle Ted Cruz In Airport Over Kavanaugh Vote.	OTHER	heckle	Women	EPISODIC	PERPETRATOR	Ted Cruz	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women Implore Mnangagwa To Address Deepening Health Crisis.	OTHER	implore	Women	EPISODIC	_	Mnangagwa	POSITIVE	POSITIVE	_
Women Lambaste Senator Over HIV Comments	OTHER	lambaste	Women	EPISODIC	_	Senator	POSITIVE	POSITIVE	_
Women Mishandle The Most Sensitive Substance On Earth	OTHER	mishandle	Women	NON_EPISODIC	PERPETRATOR	The Most Sensitive Substance On Earth	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women Mismanage Money.	ABUSE	mismanage	Women	NON_EPISODIC	PERPETRATOR	Money	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women Oust Teenage Boys as Largest Gaming Demographic.	OTHER	oust	Women	EPISODIC	_	Teenage Boys	POSITIVE	POSITIVE	_
Women Outfox Religious Doctrines.	OTHER	outfox	Women	EPISODIC	_	Religious Doctrines	NEGATIVE	POSITIVE	NON-CONFORMISTIC
Women Outrage in Katni in support of honest IPS	OTHER	outrage	Women	EPISODIC	_	N/A	N/A	N/A	_
Women Overpay For Makeup & Underwear.	OTHER	overpay	Women	NON_EPISODIC	_	Makeup & Underwear	POSITIVE	POSITIVE	_
Women Overthrow Muscians Institute THIS Thursday!	OTHER	overthrow	Women	EPISODIC	PERPETRATOR	Muscians Institute	POSITIVE	POSITIVE	_
Women Rebuff Republicans	OTHER	rebuff	Women	EPISODIC	_	Republicans	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women Reignite Demands for Civil Rights in Lebanon.	OTHER	reignite	Women	EPISODIC	_	Demands for Civil Rights in Lebanon	POSITIVE	POSITIVE	_
Women Resist Violence From #Agribusiness.	OTHER	resist	Women	EPISODIC	_	Violence	NEGATIVE	POSITIVE	NON-CONFORMISTIC
Women SHUN poor men.	ABUSE	shun	Women	NON_EPISODIC	PERPETRATOR	poor men	NEGATIVE	NEGATIVE	_
Women Shatter Records In 2018 Primary Elections	OTHER	shatter	Women	EPISODIC	_	Records	POSITIVE	POSITIVE	_
Women Shorten Men's Lives	ABUSE	shorten	Women	NON_EPISODIC	PERPETRATOR	Men's Lives	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women Slam Biden For Alleged ‘Sexist’ Comment Made Toward Registered Nurse.	OTHER	slam	Women	EPISODIC	_	Biden	POSITIVE	POSITIVE	_
Women Spurn Science.	OTHER	spurn	Women	NON_EPISODIC	_	Science	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women Storm Military Barracks Seeking To Be Enlisted.	OTHER	storm	Women	EPISODIC	PERPETRATOR	Military Barracks	POSITIVE	POSITIVE	_
Women Weaken Nations.	ABUSE	weaken	Women	NON_EPISODIC	PERPETRATOR	Nations	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women accuse Barstool’s Dave Portnoy of ‘frightening and humiliating’ sex acts.	OTHER	accuse	Women	EPISODIC	_	Barstool’s Dave Portnoy	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women aggravate my soul.	ABUSE	aggravate	Women	NON_EPISODIC	_	my soul	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women agonize on whether to have an abortion or not.	OTHER	agonize	Women	NON_EPISODIC	_	to have an abortion or not	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women allege sexual misconduct against North Carolina GOP lawmaker.	OTHER	allege	Women	EPISODIC	_	sexual misconduct	NEGATIVE	NEGATIVE	_
Women ambush #Ahmednagar rape case suspects in court.	OTHER	ambush	Women	EPISODIC	PERPETRATOR	rape case suspects	NEGATIVE	NEGATIVE	_
Women annihilate the field running 41.01 in lane 1!	OTHER	annihilate	Women	EPISODIC	_	the field	POSITIVE	POSITIVE	_
Women annul prayers.	OTHER	annul	Women	NON_EPISODIC	_	prayers	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women are DEMONISING MEN.	ABUSE	demonise	Women	NON_EPISODIC	_	MEN	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women are Squabbling at a Funeral.	OTHER	squabble	Women	EPISODIC	PERPETRATOR	N/A	N/A	N/A	_
Women are abusing laws to get away with their cr!mes.	ABUSE	abuse	Women	NON_EPISODIC	PERPETRATOR	laws	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women are brainwashing the boys.	ABUSE	brainwash	Women	NON_EPISODIC	PERPETRATOR	the boys	POSITIVE	POSITIVE	_
Women are brutalizing and suppressing transwomen.	ABUSE	brutalize	Women	NON_EPISODIC	PERPETRATOR	transwomen	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women are bullying Minnie Dlamini.	OTHER	bully	Women	EPISODIC	PERPETRATOR	Minnie Dlamini	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women are burying their children.	OTHER	bury	Women	NON_EPISODIC	_	their children	POSITIVE	POSITIVE	_
Women are busting political stereotypes on multiple levels.	OTHER	bust	Women	NON_EPISODIC	_	political stereotypes	NEGATIVE	NEGATIVE	_
Women are canceling trips to India.	OTHER	cancel	Women	EPISODIC	_	trips to India	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women are chattering on social media about Fitz' "superpower."	OTHER	chatter	Women	EPISODIC	PERPETRATOR	Fitz' "superpower."	POSITIVE	POSITIVE	_
Women are conquering sports management field too!	OTHER	conquer	Women	NON_EPISODIC	_	sports management field	POSITIVE	POSITIVE	_
Women are conspiring w/doctors to “execute” their newborns.	ABUSE	conspire	Women	NON_EPISODIC	PERPETRATOR	w/doctors	POSITIVE	POSITIVE	_
Women are corrupting guys.	ABUSE	corrupt	Women	NON_EPISODIC	_	guys	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women are defecting from the Catholic Church at an alarming rate.	OTHER	defect	Women	EPISODIC	_	the Catholic Church	NEGATIVE	NEGATIVE	_
Women are demeaning the status of India.	ABUSE	demean	Women	NON_EPISODIC	_	the status of India	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women are deserting the Republican Party in droves.	OTHER	desert	Women	EPISODIC	_	the Republican Party	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women are destroying Western civilisation.	ABUSE	destroy	Women	NON_EPISODIC	PERPETRATOR	Western civilisation	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women are detaching from the cult.	OTHER	detach	Women	NON_EPISODIC	_	the cult	NEGATIVE	NEGATIVE	_
Women are devaluing and destroying handsome men.	ABUSE	devalue	Women	NON_EPISODIC	PERPETRATOR	handsome men	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women are disapproving of Morrison.	OTHER	disapprove	Women	NON_EPISODIC	_	Morrison	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women are dismantling xenophobia all over the world.	OTHER	dismantle	Women	NON_EPISODIC	_	xenophobia	NEGATIVE	NEGATIVE	_
Women are disrupting the world of #IoT	OTHER	disrupt	Women	NON_EPISODIC	_	the world of #IoT	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women are disturbing the nations.	ABUSE	disturb	Women	NON_EPISODIC	_	the nations	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women are drowning in unpaid labor at home.	OTHER	drown	Women	NON_EPISODIC	_	unpaid labor	NEGATIVE	NEGATIVE	_
Women are dumping the #GOP in droves.	OTHER	dump	Women	EPISODIC	_	the #GOP	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women are exorcising some demons today	OTHER	exorcise	Women	EPISODIC	_	some demons	NEGATIVE	NEGATIVE	_
Women are fantasising over Giroud at 8:57am.	OTHER	fantasise	Women	EPISODIC	_	Giroud	POSITIVE	POSITIVE	_
Women are flooding the streets of Venezuela today to protest Nicolas Maduro's authoritarian regime.	OTHER	flood	Women	EPISODIC	_	the streets of Venezuela	POSITIVE	POSITIVE	_
Women are frowning against Female Genital Mutilation/Cutting (FGM/C).	OTHER	frown	Women	NON_EPISODIC	_	Female Genital Mutilation/Cutting (FGM/C)	NEGATIVE	NEGATIVE	_
Women are fulminating against CAA in #ShaheenBagh.	OTHER	fulminate	Women	EPISODIC	_	CAA	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women are fuming about this erasure of their biological sex.	OTHER	fume	Women	NON_EPISODIC	_	this erasure of their biological sex	NEGATIVE	NEGATIVE	_
Women are gaming the system to have anchor babies.	ABUSE	game	Women	NON_EPISODIC	PERPETRATOR	the system	POSITIVE	POSITIVE	_
Women are grilling @CameronNewton this morning.	OTHER	grill	Women	EPISODIC	PERPETRATOR	@CameronNewton	POSITIVE	POSITIVE	_
Women are ignoring the facts!	ABUSE	ignore	Women	NON_EPISODIC	_	the facts	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women are imposing their will on the unborn's body.	ABUSE	impose	Women	NON_EPISODIC	PERPETRATOR	their will	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women are inciting a gender war.	ABUSE	incite	Women	NON_EPISODIC	PERPETRATOR	a gender war	NEGATIVE	NEGATIVE	_
Women are instigating murders all the time.	ABUSE	instigate	Women	NON_EPISODIC	PERPETRATOR	murders	NEGATIVE	NEGATIVE	_
Women are limiting family size to just 1 or 2 kids.	OTHER	limit	Women	NON_EPISODIC	_	family size	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women are looting innocent men with #Alimony.	ABUSE	loot	Women	NON_EPISODIC	PERPETRATOR	innocent men	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women are lowering their standards every day.	ABUSE	lower	Women	NON_EPISODIC	_	their standards	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women are massacring their husbands.	ABUSE	massacre	Women	EPISODIC	PERPETRATOR	their husbands	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women are misunderstanding machines.	ABUSE	misunderstand	Women	NON_EPISODIC	_	machines	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women are misusing laws against innocent men for some baseless issues.	ABUSE	misuse	Women	EPISODIC	PERPETRATOR	laws	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women are mocking men’s penises.	ABUSE	mock	Women	NON_EPISODIC	PERPETRATOR	men’s penises	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women are murdering children by the thousands every day.	ABUSE	murder	Women	NON_EPISODIC	PERPETRATOR	children	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women are narrowing the gender gap in entrepreneurship.	OTHER	narrow	Women	NON_EPISODIC	_	the gender gap	NEGATIVE	POSITIVE	NON-CONFORMISTIC
Women are objecting to being objectified as nothing but pretty little holes.	OTHER	object	Women	NON_EPISODIC	_	to being objectified	NEGATIVE	NEGATIVE	_
Women are overpowering EVERYONE ELSE by now.	OTHER	overpower	Women	NON_EPISODIC	PERPETRATOR	EVERYONE ELSE	POSITIVE	POSITIVE	_
Women are overrunning the Internet.	ABUSE	overrun	Women	NON_EPISODIC	PERPETRATOR	the Internet	POSITIVE	POSITIVE	_
Women are overturning Roe v Wade.	OTHER	overturn	Women	EPISODIC	_	Roe v Wade	POSITIVE	POSITIVE	_
Women are pillaging Danish sperm banks.	ABUSE	pillage	Women	EPISODIC	PERPETRATOR	Danish sperm banks	POSITIVE	POSITIVE	_
Women are plotting to weaken men.	ABUSE	plot	Women	NON_EPISODIC	PERPETRATOR	weaken men	NEGATIVE	NEGATIVE	_
Women are prying in Hollywood.	OTHER	pry	Women	NON_EPISODIC	_	N/A	N/A	N/A	_
Women are punishing men with sex.	ABUSE	punish	Women	NON_EPISODIC	PERPETRATOR	men	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women are rebelling against centuries of oppression.	OTHER	rebel	Women	NON_EPISODIC	_	centuries of oppression	NEGATIVE	NEGATIVE	_
Women are refusing to fall into the trap of being set against one another.	OTHER	refuse	Women	NON_EPISODIC	_	fall into the trap of being set against one another	NEGATIVE	POSITIVE	NON-CONFORMISTIC
Women are removing more and more barriers - across all sectors of societ	OTHER	remove	Women	NON_EPISODIC	_	more and more barriers	NEGATIVE	NEGATIVE	_
Women are reverting to natural lips.	OTHER	revert	Women	NON_EPISODIC	_	natural lips	POSITIVE	POSITIVE	_
Women are ripping Ivanka for trying to 'bribe' Planned Parenthood.	OTHER	rip	Women	EPISODIC	_	Ivanka	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women are skipping breast #cancer screening due to #Covid.	OTHER	skip	Women	EPISODIC	_	breast #cancer screening	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women are slashing penises and assaulting teenagers because of men.	ABUSE	slash	Women	NON_EPISODIC	PERPETRATOR	penises	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women are slaughtering men on a daily basis.	ABUSE	slaughter	Women	NON_EPISODIC	PERPETRATOR	men	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women are sleepwalking into poverty.	OTHER	sleepwalk	Women	NON_EPISODIC	_	N/A	N/A	N/A	_
Women are splitting the squad today!	OTHER	split	Women	EPISODIC	_	the squad	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women are staining our vital coal extraction industries	OTHER	stain	Women	NON_EPISODIC	PERPETRATOR	our vital coal extraction industries	NEGATIVE	NEGATIVE	_
Women are strutting around the airport.	OTHER	strut	Women	EPISODIC	_	N/A	N/A	N/A	_
Women are succumbing to the pressures of plastic surgery, more specifically breast implants at much younger ages.	OTHER	succumb	Women	NON_EPISODIC	_	the pressures of plastic surgery	NEGATIVE	POSITIVE	NON-CONFORMISTIC
Women are suppressing traditional feminine characteristics like elegance and fragility.	OTHER	suppress	Women	NON_EPISODIC	_	traditional feminine characteristics like elegance and fragility	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women are torturing small babies.	ABUSE	torture	Women	NON_EPISODIC	PERPETRATOR	small babies	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women are trampling over men these days.	ABUSE	trample	Women	NON_EPISODIC	PERPETRATOR	men	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women are trashing left, right and centre today.	OTHER	trash	Women	NON_EPISODIC	_	left, right and centre	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women are tricking me by being too sexy.	ABUSE	trick	Women	NON_EPISODIC	_	me	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women are trivializing the Men Are Trash movement.	OTHER	trivialize	Women	EPISODIC	_	the Men Are Trash movement	NEGATIVE	POSITIVE	NON-CONFORMISTIC
Women are wavering in Trump county, USA	OTHER	waver	Women	EPISODIC	_	N/A	N/A	N/A	_
Women avoid hardworking jobs.	ABUSE	avoid	Women	NON_EPISODIC	PERPETRATOR	hardworking jobs	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women babble too much.	ABUSE	babble	Women	NON_EPISODIC	_	N/A	N/A	N/A	_
Women baffle me.	OTHER	baffle	Women	NON_EPISODIC	_	me	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women banish Monday morning blues with wardrobe choice.	OTHER	banish	Women	NON_EPISODIC	_	Monday morning blues	NEGATIVE	NEGATIVE	_
Women bankrupt the state.	ABUSE	bankrupt	Women	NON_EPISODIC	PERPETRATOR	the state	NEGATIVE	NEGATIVE	_
Women beg for honesty.	OTHER	beg	Women	NON_EPISODIC	_	honesty	POSITIVE	POSITIVE	_
Women beguile men all day.	ABUSE	beguile	Women	NON_EPISODIC	_	men	POSITIVE	POSITIVE	_
Women bemoan lack of political space.	OTHER	bemoan	Women	EPISODIC	_	lack of political space	NEGATIVE	NEGATIVE	_
Women besiege PDP secreatriat in Ilorin.	OTHER	besiege	Women	EPISODIC	PERPETRATOR	PDP secreatriat	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women betray their partners.	ABUSE	betray	Women	NON_EPISODIC	PERPETRATOR	their partners	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women bewilder me.	OTHER	bewilder	Women	NON_EPISODIC	_	me	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women blabber too much.	ABUSE	blabber	Women	NON_EPISODIC	_	N/A	N/A	N/A	_
Women blast Trump for 1950’s name ‘suburban housewives’.	OTHER	blast	Women	EPISODIC	_	Trump	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women blindside men.	ABUSE	blindside	Women	NON_EPISODIC	_	men	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women boast about orgasm.	OTHER	boast	Women	NON_EPISODIC	_	orgasm	POSITIVE	POSITIVE	_
Women boggle my mind.	OTHER	boggle	Women	NON_EPISODIC	_	my mind	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women boycott UK bars and clubs to demand action on drink-spiking.	OTHER	boycott	Women	EPISODIC	_	UK bars and clubs	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women bribe men into doing work.	ABUSE	bribe	Women	NON_EPISODIC	_	men	POSITIVE	POSITIVE	_
Women bristle at patriarchy for good reason.	OTHER	bristle	Women	NON_EPISODIC	_	patriarchy	NEGATIVE	NEGATIVE	_
Women bungle everything they touch.	ABUSE	bungle	Women	NON_EPISODIC	_	everything they touch	POSITIVE	POSITIVE	_
Women burden my spirit.	ABUSE	burden	Women	NON_EPISODIC	_	my spirit	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women carjack Lyft driver at gunpoint in Woodbridge.	OTHER	carjack	Women	EPISODIC	PERPETRATOR	Lyft driver	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women castrate the nature and ambitions of men.	ABUSE	castrate	Women	NON_EPISODIC	_	the nature and ambitions of men	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women causing trouble once again.	ABUSE	cause	Women	NON_EPISODIC	_	trouble	NEGATIVE	POSITIVE	NON-CONFORMISTIC
Women cheat to hurt you.	ABUSE	cheat	Women	NON_EPISODIC	PERPETRATOR	N/A	N/A	N/A	_
Women chide Kidman for promoting chauvinistic Arabic Airline.	OTHER	chide	Women	EPISODIC	_	Kidman	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women circumvent the wage gap.	OTHER	circumvent	Women	EPISODIC	_	the wage gap	NEGATIVE	NEGATIVE	_
Women clash with Turkish policemen during a rally marking the International Women's Day at Istiklal Street in Istanbul, Turkey, 08 March 2020.	OTHER	clash	Women	EPISODIC	PERPETRATOR	Turkish policemen	POSITIVE	NEGATIVE	NON-CONFORMISTIC
