#SENTENCE	VERB_LEMMA	ASPECT	AGENT_PERPETRATOR	PATIENT	SENTIMENT_OF_PATIENT	SENTIMENT_OF_AGENT_TOWARDS_PATIENT	AGENT_IS_NON-CONFORMISTIC
Women are demeaning the status of India.	demean	NON_EPISODIC	PERPETRATOR	the status of india	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women are deserting the Republican Party in droves.	desert	NON_EPISODIC	PERPETRATOR	the republican party	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women are destroying Western civilisation.	destroy	NON_EPISODIC	PERPETRATOR	western civilisation	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women are detaching from the cult.	detach	NON_EPISODIC	_	the cult	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women are devaluing and destroying handsome men.	devalue	NON_EPISODIC	_	and destroy handsome man	NEGATIVE	NEGATIVE	_
Women are disapproving of Morrison.	disapprove	NON_EPISODIC	_	morrison	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women are dismantling xenophobia all over the world.	dismantle	NON_EPISODIC	_	xenophobia all over the world	NEGATIVE	NEGATIVE	_
Women are disrupting the world of #IoT	disrupt	NON_EPISODIC	PERPETRATOR	the world of # iot	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women are disturbing the nations.	disturb	NON_EPISODIC	PERPETRATOR	the nation	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women are drowning in unpaid labor at home.	drown	NON_EPISODIC	PERPETRATOR	N/A	N/A	N/A	_
Women are dumping the #GOP in droves.	dump	NON_EPISODIC	PERPETRATOR	the # gop	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women are exorcising some demons today	exorcise	NON_EPISODIC	_	some demon today	NEGATIVE	NEGATIVE	_
Women are fantasising over Giroud at 8:57am.	fantasise	NON_EPISODIC	_	giroud at 8:57am	POSITIVE	POSITIVE	_
Women are flooding the streets of Venezuela today to protest Nicolas Maduro's authoritarian regime.	flood	EPISODIC	_	the street of venezuela today to protest nicolas maduro 's authoritarian regime	POSITIVE	POSITIVE	_
Women are frowning against Female Genital Mutilation/Cutting (FGM/C).	frown	NON_EPISODIC	_	female genital mutilation / cut	NEGATIVE	NEGATIVE	_
Women are fulminating against CAA in #ShaheenBagh.	fulminate	EPISODIC	_	caa	NEGATIVE	NEGATIVE	_
Women are fuming about this erasure of their biological sex.	fume	NON_EPISODIC	_	this erasure of their biological sex	NEGATIVE	NEGATIVE	_
Women are gaming the system to have anchor babies.	game	NON_EPISODIC	_	the system to have anchor baby	POSITIVE	POSITIVE	_
Women are grilling @CameronNewton this morning.	grill	NON_EPISODIC	_	@cameronnewton this morning	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women are ignoring the facts!	ignore	NON_EPISODIC	_	the fact	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women are imposing their will on the unborn's body.	impose	NON_EPISODIC	_	their will on the unborn 's body	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women are inciting a gender war.	incite	NON_EPISODIC	PERPETRATOR	a gender war	NEGATIVE	POSITIVE	NON-CONFORMISTIC
Women are instigating murders all the time.	instigate	NON_EPISODIC	PERPETRATOR	murder all the time	NEGATIVE	POSITIVE	NON-CONFORMISTIC
Women are limiting family size to just 1 or 2 kids.	limit	NON_EPISODIC	_	family size to just 1 or 2 kid	POSITIVE	POSITIVE	_
Women are looting innocent men with #Alimony.	loot	NON_EPISODIC	PERPETRATOR	innocent man with # alimony	POSITIVE	POSITIVE	_
Women are lowering their standards every day.	lower	NON_EPISODIC	_	their standard every day	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women are massacring their husbands.	massacre	NON_EPISODIC	PERPETRATOR	their husband	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women are misunderstanding machines.	misunderstand	NON_EPISODIC	_	machine	NEGATIVE	NEGATIVE	_
Women are misusing laws against innocent men for some baseless issues.	misuse	NON_EPISODIC	PERPETRATOR	law against innocent man for some baseless issue	NEGATIVE	NEGATIVE	_
Women are mocking men’s penises.	mock	NON_EPISODIC	PERPETRATOR	man ’s penis	NEGATIVE	NEGATIVE	_
Women are murdering children by the thousands every day.	murder	NON_EPISODIC	PERPETRATOR	child by the thousand every day	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women are narrowing the gender gap in entrepreneurship.	narrow	NON_EPISODIC	_	the gender gap	NEGATIVE	NEGATIVE	_
Women are objecting to being objectified as nothing but pretty little holes.	object	NON_EPISODIC	_	be objectify	NEGATIVE	POSITIVE	NON-CONFORMISTIC
Women are overpowering EVERYONE ELSE by now.	overpower	NON_EPISODIC	PERPETRATOR	everyone else by now	NEGATIVE	POSITIVE	NON-CONFORMISTIC
Women are overrunning the Internet.	overrun	NON_EPISODIC	PERPETRATOR	the internet	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women are overturning Roe v Wade.	overturn	NON_EPISODIC	_	roe v wade	NEGATIVE	NEGATIVE	_
Women are pillaging Danish sperm banks.	pillage	NON_EPISODIC	PERPETRATOR	danish sperm bank	NEGATIVE	POSITIVE	NON-CONFORMISTIC
Women are plotting to weaken men.	plot	NON_EPISODIC	_	to weaken man	NEGATIVE	POSITIVE	NON-CONFORMISTIC
Women are prying in Hollywood.	pry	NON_EPISODIC	_	N/A	N/A	N/A	_
Women are punishing men with sex.	punish	NON_EPISODIC	_	man with sex	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women are rebelling against centuries of oppression.	rebel	NON_EPISODIC	PERPETRATOR	century of oppression	NEGATIVE	NEGATIVE	_
Women are refusing to fall into the trap of being set against one another.	refuse	NON_EPISODIC	_	to fall into the trap of be set against one another	NEGATIVE	POSITIVE	NON-CONFORMISTIC
Women are removing more and more barriers - across all sectors of societ	remove	NON_EPISODIC	_	more and more barrier	NEGATIVE	NEGATIVE	_
Women are reverting to natural lips.	revert	NON_EPISODIC	_	natural lip	POSITIVE	POSITIVE	_
Women are ripping Ivanka for trying to 'bribe' Planned Parenthood.	rip	EPISODIC	PERPETRATOR	ivanka for try to ' bribe	NEGATIVE	POSITIVE	NON-CONFORMISTIC
Women are skipping breast #cancer screening due to #Covid.	skip	NON_EPISODIC	_	breast # cancer screening due to # covid	NEGATIVE	POSITIVE	NON-CONFORMISTIC
Women are slashing penises and assaulting teenagers because of men.	slash	NON_EPISODIC	PERPETRATOR	penis and assault teenager	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women are slaughtering men on a daily basis.	slaughter	NON_EPISODIC	PERPETRATOR	man on a daily basis	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women are sleepwalking into poverty.	sleepwalk	NON_EPISODIC	_	poverty	NEGATIVE	POSITIVE	NON-CONFORMISTIC
Women are splitting the squad today!	split	NON_EPISODIC	_	the squad today	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women are staining our vital coal extraction industries	stain	NON_EPISODIC	_	our vital coal extraction industry	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women are strutting around the airport.	strut	NON_EPISODIC	_	N/A	N/A	N/A	_
Women are succumbing to the pressures of plastic surgery, more specifically breast implants at much younger ages.	succumb	NON_EPISODIC	_	the pressure of plastic surgery	NEGATIVE	POSITIVE	NON-CONFORMISTIC
Women are suppressing traditional feminine characteristics like elegance and fragility.	suppress	NON_EPISODIC	PERPETRATOR	traditional feminine characteristic like elegance and fragility	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women are torturing small babies.	torture	NON_EPISODIC	PERPETRATOR	small baby	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women are trampling over men these days.	trample	NON_EPISODIC	PERPETRATOR	man these day	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women are trashing left, right and centre today.	trash	NON_EPISODIC	PERPETRATOR	left	NEGATIVE	NEGATIVE	_
Women are tricking me by being too sexy.	trick	NON_EPISODIC	PERPETRATOR	i by be too sexy	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women are trivializing the Men Are Trash movement.	trivialize	NON_EPISODIC	_	the man be trash movement	NEGATIVE	NEGATIVE	_
Women are wavering in Trump county, USA	waver	NON_EPISODIC	_	N/A	N/A	N/A	_
Women avoid hardworking jobs.	avoid	NON_EPISODIC	_	hardworke job	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women babble too much.	babble	NON_EPISODIC	_	too much	NEGATIVE	POSITIVE	NON-CONFORMISTIC
Women baffle me.	baffle	NON_EPISODIC	_	i	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women banish Monday morning blues with wardrobe choice.	banish	EPISODIC	_	monday morning blue with wardrobe choice	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women bankrupt the state.	bankrupt	NON_EPISODIC	_	the state	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women beg for honesty.	beg	NON_EPISODIC	_	honesty	POSITIVE	POSITIVE	_
Women beguile men all day.	beguile	NON_EPISODIC	_	man all day	POSITIVE	POSITIVE	_
Women bemoan lack of political space.	bemoan	NON_EPISODIC	_	lack of political space	NEGATIVE	NEGATIVE	_
Women besiege PDP secreatriat in Ilorin.	besiege	EPISODIC	PERPETRATOR	pdp secreatriat	NEGATIVE	POSITIVE	NON-CONFORMISTIC
Women betray their partners.	betray	NON_EPISODIC	PERPETRATOR	their partner	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women bewilder me.	bewilder	NON_EPISODIC	_	i	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women blabber too much.	blabber	NON_EPISODIC	_	too much	NEGATIVE	NEGATIVE	_
Women blast Trump for 1950’s name ‘suburban housewives’.	blast	EPISODIC	PERPETRATOR	trump for 1950 ’s name	NEGATIVE	POSITIVE	NON-CONFORMISTIC
Women blindside men.	blindside	NON_EPISODIC	PERPETRATOR	man	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women boast about orgasm.	boast	NON_EPISODIC	_	orgasm	POSITIVE	POSITIVE	_
Women boggle my mind.	boggle	NON_EPISODIC	_	my mind	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women boycott UK bars and clubs to demand action on drink-spiking.	boycott	EPISODIC	_	uk bar and club to demand action on drink	POSITIVE	POSITIVE	_
Women bribe men into doing work.	bribe	NON_EPISODIC	PERPETRATOR	man into do work	POSITIVE	POSITIVE	_
Women bristle at patriarchy for good reason.	bristle	NON_EPISODIC	_	patriarchy for good reason	POSITIVE	POSITIVE	_
Women bungle everything they touch.	bungle	NON_EPISODIC	_	everything they touch	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women burden my spirit.	burden	NON_EPISODIC	_	my spirit	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women carjack Lyft driver at gunpoint in Woodbridge.	carjack	EPISODIC	PERPETRATOR	lyft driver at gunpoint	NEGATIVE	NEGATIVE	_
Women castrate the nature and ambitions of men.	castrate	NON_EPISODIC	PERPETRATOR	the nature and ambition of man	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women causing trouble once again.	cause	NON_EPISODIC	_	trouble once again	NEGATIVE	NEGATIVE	_
Women cheat to hurt you.	cheat	NON_EPISODIC	PERPETRATOR	to hurt you	NEGATIVE	POSITIVE	NON-CONFORMISTIC
Women chide Kidman for promoting chauvinistic Arabic Airline.	chide	EPISODIC	_	kidman for promote chauvinistic arabic airline	NEGATIVE	POSITIVE	NON-CONFORMISTIC
Women circumvent the wage gap.	circumvent	NON_EPISODIC	_	the wage gap	NEGATIVE	NEGATIVE	_
Women clash with Turkish policemen during a rally marking the International Women's Day at Istiklal Street in Istanbul, Turkey, 08 March 2020.	clash	EPISODIC	PERPETRATOR	turkish policeman	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women clench 1st in 4x400-m relay to close out 2012 Texas Relays	clench	EPISODIC	_	1st	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women clobber fake faith-healer.	clobber	NON_EPISODIC	PERPETRATOR	fake faith	NEGATIVE	NEGATIVE	_
Women clog shower drains.	clog	NON_EPISODIC	_	shower drain	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women coerce men to cheat.	coerce	NON_EPISODIC	PERPETRATOR	man to cheat	NEGATIVE	POSITIVE	NON-CONFORMISTIC
Women complain about toxic masculinity	complain	NON_EPISODIC	_	toxic masculinity	NEGATIVE	NEGATIVE	_
Women complicate everything	complicate	NON_EPISODIC	_	everything	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women concoct some crazy ideas about men.	concoct	NON_EPISODIC	PERPETRATOR	some crazy idea about man	POSITIVE	POSITIVE	_
Women confound me; every day.	confound	NON_EPISODIC	_	i	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women confuse me greatly.	confuse	NON_EPISODIC	_	i greatly	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women constrict everything to, in my opinion, an unhealthy degree.	constrict	NON_EPISODIC	_	everything to	POSITIVE	POSITIVE	_
Women consume the majority of violent porn.	consume	NON_EPISODIC	_	the majority of violent porn	NEGATIVE	POSITIVE	NON-CONFORMISTIC
Women convolute the conversation with their feelings.	convolute	NON_EPISODIC	_	the conversation with their feeling	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women cry for their relatives	cry	NON_EPISODIC	_	their relative	POSITIVE	POSITIVE	_
Women curbing men's potential.	curb	NON_EPISODIC	_	man 's potential	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women decay with age.	decay	NON_EPISODIC	_	age	NEGATIVE	NEGATIVE	_
Women deceive and manipulate grown men every day.	deceive	NON_EPISODIC	PERPETRATOR	and manipulate grown man every day	NEGATIVE	NEGATIVE	_
Women deface BLM street painting in NY.	deface	NON_EPISODIC	PERPETRATOR	blm street painting	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women defecate in open in PM Modi’s hometown in Gujrat.	defecate	EPISODIC	PERPETRATOR	N/A	N/A	N/A	_
Women deflect and deny accountability.	deflect	NON_EPISODIC	PERPETRATOR	and deny accountability	NEGATIVE	NEGATIVE	_
Women defy gender stereotypes in a Polish town.	defy	NON_EPISODIC	_	gender stereotype	NEGATIVE	POSITIVE	NON-CONFORMISTIC
Women demand end to violence across Turkey.	demand	EPISODIC	_	end to violence	NEGATIVE	POSITIVE	NON-CONFORMISTIC
Women demolish licensed liquor shop in Keonjhar.	demolish	EPISODIC	PERPETRATOR	licensed liquor shop	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Women deny roles in firefighter's death.	deny	EPISODIC	_	role	POSITIVE	NEGATIVE	NON-CONFORMISTIC
